domain,github_user,github_repo,tunnel_id,mx_primary,mx_secondary,admin_email,ssh_fp_sha256,ssh_fp_sha256_backup,dkim_selector,tlsa_cert_hash,enable_mail,enable_tunnel,enable_ssh,enable_github_pages,enable_consent_gate,enable_capability_gate,pages_project
a2ml.net,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
affinescript.dev,hyperpolymath,affinescript,,,,,,,default,,false,false,false,false,false,false,
axel-protocol.org,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
cc-studio.dev,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
cerrotorre.dev,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
eclexia.org,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
ephapax.org,hyperpolymath,ephapax,,,,,,,default,,false,false,false,false,false,false,
error-lang.org,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
experience.exchange,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
hiddenhashtag.dev,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
jewell.nexus,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
jonathanjewell.dev,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
metadatastician.art,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
metadatastician.net,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
my-lang.net,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
nuj-lcb.org.uk,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
nujprcbranch.org.uk,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
nuj-prc.org.uk,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
oblibeny.net,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
reposystem.dev,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
stamp-protocol.org,hyperpolymath,stamp-protocol,,,,,,,default,,false,false,false,false,false,false,
svalinnproject.org,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
thepiratebay.dev,hyperpolymath,,,,,,,,default,,false,false,false,false,false,false,
wokelang.org,hyperpolymath,wokelang,,,,,,,default,,false,false,false,false,false,false,wokelang
